gu,name,desc,directions,img,lat,lon,gu_en,name_en,gu_zh-CN,name_zh-CN,gu_ja,name_ja,gu_es,name_es,gu_ar,name_ar,gu_ru,name_ru,themes,duration_hours,cost_rank,indoor,night_ok,best_time,styles,situations,journeys
종로구,경복궁,"1395년 태조 때 창건된 조선의 법궁으로, 근정전·경회루·향원정 등 조선 궁궐 건축의 핵심을 한자리에서 볼 수 있다. 광화문과 궁궐의 중심축을 따라 걸으면 왕실의 공간 구성을 이해하기 좋고, 수문장 교대의식 등 전통행사와 함께 관람하기에도 좋다.",3호선 경복궁역 5번 출구로 나와 약 3~5분 걸으면 광화문·흥례문 방면 입구에 도착한다. 5호선 광화문역에서도 광화문광장을 지나 도보로 접근할 수 있다.,https://upload.wikimedia.org/wikipedia/commons/5/5b/Gyeongbokgung_Mar_2025_100.jpg,37.577613288258206,126.97689786832184,Jongno-gu,Gyeongbokgung Palace,钟路区,景福宫,鍾路区,景福宮,Jongno-gu,Palacio Gyeongbokgung,جونغنو غو,قصر جيونجبوكجيونج,Чонно-гу,Дворец Кёнбоккун,traditional|photo,2.5,1,False,False,morning,solo|couple|friends|family,,royal_seoul
종로구,창덕궁,"자연 지형과 건축을 조화롭게 배치한 조선 궁궐로, 1997년 유네스코 세계유산에 등재되었다. 인정전과 낙선재도 볼거리지만 특히 후원은 연못·정자·숲이 어우러진 궁중 정원의 백미로 꼽히며, 후원 관람은 별도 운영 방식과 시간을 확인하는 것이 좋다.",3호선 안국역 3번 출구에서 율곡로를 따라 동쪽으로 약 5분 걸으면 돈화문이 나온다. 후원 관람이 목적이라면 입장 시간보다 여유 있게 도착하는 편이 좋다.,https://upload.wikimedia.org/wikipedia/commons/d/d4/%EC%B0%BD%EB%8D%95%EA%B6%81_%EC%A0%84%EA%B2%BD_(2012).jpg,37.57964694739535,126.99099980677128,Jongno-gu,Changdeokgung Palace,钟路区,昌德宫,鍾路区,昌徳宮,Jongno-gu,Palacio Changdeokgung,جونغنو غو,قصر تشانغديوكجيونج,Чонно-гу,Дворец Чхандоккун,traditional|nature|photo,3.0,1,False,False,morning,solo|couple|friends|family,hot,royal_seoul|slow_seoul
종로구,북촌한옥마을,"경복궁과 창덕궁 사이에 자리한 전통 한옥 주거지역으로, 골목을 따라 서울의 옛 주거 풍경과 북악산 일대의 경관을 함께 볼 수 있다. 실제 주민이 생활하는 동네이므로 큰 소리·사유지 출입·야간 소음은 피하고, 지정된 관람 동선과 안내를 따르는 것이 중요하다.",3호선 안국역 2번 출구에서 북쪽으로 약 10분 걸으면 북촌문화센터·가회동 골목권에 들어선다. 마을이 넓으므로 한옥 밀집 구간과 전망 지점을 지도에서 먼저 정하고 걷는 것이 편하다.,https://upload.wikimedia.org/wikipedia/commons/a/a4/Bukchon_Hanok_Village_%EB%B6%81%EC%B4%8C_%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84_October_1_2020_15.jpg,37.58176815383344,126.98481245064092,Jongno-gu,Bukchon Hanok Village,钟路区,北村韩屋村,鍾路区,北村韓屋村,Jongno-gu,Aldea Hanok de Bukchon,جونغنو غو,قرية بوكتشون هانوك,Чонно-гу,Деревня Букчон Ханок,traditional|trendy|photo,2.0,0,False,False,morning,solo|couple|friends,,royal_seoul|alley_temperature
종로구,인사동 쌈지길,"인사동 중심에 있는 복합문화공간으로, 층층이 이어지는 완만한 나선형 보행로를 따라 공예품·디자인 소품·먹거리 가게를 둘러볼 수 있다. 전통문화 거리인 인사동의 분위기와 현대적인 상업·전시 공간을 짧은 동선에서 함께 즐기기 좋은 곳이다.",3호선 안국역 6번 출구에서 인사동길로 들어가 약 5분 걷는다. 쌈지길은 인사동 메인거리 중간에 있어 조계사·종각 방향에서도 도보 접근이 쉽다.,https://upload.wikimedia.org/wikipedia/commons/f/f0/Seoul-Insadong-Ssamzie_Market-01.jpg,37.5743520602942,126.984731319433,Jongno-gu,Insadong Ssamziegil,钟路区,仁寺洞三吉街,鍾路区,仁寺洞サムジギル,Jongno-gu,Insadong Ssamziegil,جونغنو غو,انسادونج سامزيجيل,Чонно-гу,Инсадонг Ссамзигил,traditional|trendy|shopping|photo,1.5,0,True,False,anytime,solo|couple|friends,rainy|indoor|hot,royal_seoul|seoul_now
종로구,광화문광장,"세종대로 한가운데 조성된 서울의 대표 공공광장으로, 세종대왕상과 이순신장군상, 광화문과 경복궁이 한 축으로 이어지는 도시 경관이 인상적이다. 계절별 행사와 전시가 자주 열리고, 광화문 월대와 궁궐권을 연계해 걸으면 서울 도심의 역사성을 느끼기 좋다.",5호선 광화문역 9번 출구로 나오면 광장과 바로 연결된다. 세종대왕상·광화문 방향으로 북쪽을 향해 걸으면 경복궁까지 자연스럽게 이어진다.,https://upload.wikimedia.org/wikipedia/commons/6/6c/Nightview_of_the_Gwanghwamun_Square_2024.jpg,37.572602860810186,126.97691639601516,Jongno-gu,Gwanghwamun Square,钟路区,光化门广场,鍾路区,光化門広場,Jongno-gu,Plaza Gwanghwamun,جونغنو غو,ساحة جوانجهوامون,Чонно-гу,Площадь Кванхвамун,traditional|night_seoul|photo,1.0,0,False,True,evening,solo|couple|friends|family,night,royal_seoul
종로구,청계천 모전교,"청계광장과 가까운 청계천 상류 구간의 다리로, 복원된 도심 하천을 산책하기 시작하기 좋은 지점이다. 광화문·종각·을지로와 가까워 도심 관광 중 잠시 내려가 물길을 따라 걷기 좋으며, 해가 진 뒤에는 조명과 도심 야경이 더해진다.",5호선 광화문역 5번 출구에서 청계광장 방향으로 약 5분 걸으면 모전교와 청계천 상류 구간에 닿는다. 종각역에서도 도보 약 5~10분 거리다.,https://upload.wikimedia.org/wikipedia/commons/b/b8/Seoul_Cheonggyecheon_night.jpg,37.5691263603203,126.97929001624216,Jongno-gu,Cheonggyecheon Mojeongyo Bridge,钟路区,清溪川木正桥,鍾路区,清渓川母殿橋,Jongno-gu,Puente Cheonggyecheon Mojeongyo,جونغنو غو,جسر تشيونج جي تشون موجونجيو,Чонно-гу,Мост Чхонгечхон Моджонё,night_seoul|nature|photo,1.5,0,False,True,evening,solo|couple|friends|family,night|hot,han_river_night|slow_seoul
종로구,익선동 한옥마을,"종로의 오래된 한옥 골목을 카페·식당·상점이 채우며 새로운 상권으로 발전한 지역이다. 낮에는 한옥의 지붕선과 좁은 골목을 천천히 둘러보기 좋고, 저녁에는 식당과 카페가 붐비므로 골목 혼잡과 대기시간을 고려하는 편이 좋다.",1·3·5호선 종로3가역 4번 출구에서 약 3~5분 걸으면 익선동 골목권에 들어선다. 골목이 매우 좁고 비슷해 대표 목적지를 하나 정해 지도와 함께 이동하는 편이 좋다.,https://upload.wikimedia.org/wikipedia/commons/f/fe/Ikseon-dong_%EC%9D%B5%EC%84%A0%EB%8F%99_October_1_2020_8.jpg,37.57418692679678,126.9910683849418,Jongno-gu,Ikseon-dong Hanok Village,钟路区,益善洞韩屋村,鍾路区,益善洞韓屋村,Jongno-gu,Aldea Hanok de Ikseon-dong,جونغنو غو,قرية إكسيون دونغ هانوك,Чонно-гу,Деревня Иксондон Ханок,traditional|food|trendy|photo,2.0,0,False,True,evening,solo|couple|friends,night,royal_seoul|alley_temperature|seoul_bite
종로구,서촌마을,"경복궁 서쪽에 형성된 오래된 생활권으로, 한옥과 저층 주택, 작은 책방·갤러리·카페가 골목마다 이어진다. 통인시장, 인왕산 자락, 수성동계곡 등과 연결해 걸으면 궁궐 중심의 서울과는 다른 생활형 도심 풍경을 볼 수 있다.",3호선 경복궁역 2번 출구에서 통인시장·자하문로 방향으로 약 5~10분 걸으면 서촌 중심 골목에 들어선다. 서촌은 범위가 넓어 통인시장이나 수성동계곡 등 목적지를 먼저 정하는 것이 좋다.,"https://staticmap.openstreetmap.de/staticmap.php?center=37.578728818102,126.9731106965&zoom=16&size=800x500&markers=37.578728818102,126.9731106965,red-pushpin",37.578728818102,126.9731106965,Jongno-gu,Seochon Village,钟路区,西村,鍾路区,西村村,Jongno-gu,Pueblo de Seochon,جونغنو غو,قرية سيوتشون,Чонно-гу,Деревня Сочхон,traditional|food|trendy|photo,2.0,0,False,True,evening,solo|couple|friends,night,royal_seoul|alley_temperature|seoul_bite
종로구,종묘,"조선 왕과 왕비의 신주를 모시고 제례를 올리던 왕실 사당으로, 1995년 유네스코 세계유산에 등재되었다. 길게 뻗은 정전과 엄숙한 공간 구성이 특징이며, 종묘제례와 종묘제례악으로 이어지는 왕실 의례문화를 함께 이해하기 좋은 곳이다.",1·3·5호선 종로3가역 11번 출구에서 종묘 방향으로 약 5~10분 걸으면 외대문에 도착한다. 종묘광장을 지나 입구 표지판을 따르면 찾기 쉽다.,https://upload.wikimedia.org/wikipedia/commons/0/07/%EC%A2%85%EB%AC%98.jpg,37.5761080433804,126.994212979827,Jongno-gu,Jongmyo Shrine,钟路区,宗庙,鍾路区,種苗,Jongno-gu,Santuario Jongmyo,جونغنو غو,ضريح جونغميو,Чонно-гу,Храм Чонмё,traditional|nature|photo,1.5,1,False,False,morning,solo|couple|friends|family,hot,royal_seoul|slow_seoul
종로구,창경궁,"성종이 왕실 어른들을 모시기 위해 확장·조성한 궁궐로, 다른 궁궐보다 생활 공간과 정원의 분위기가 두드러진다. 춘당지와 우리나라 최초의 서양식 온실인 대온실이 특히 유명해 궁궐 산책과 식물·건축 감상을 함께하기 좋다.",4호선 혜화역 4번 출구에서 대학로를 지나 약 15분 걷거나 버스로 창경궁 앞 정류장까지 이동할 수 있다. 3호선 안국역·종로3가역 쪽에서 버스를 이용하는 방법도 편하다.,"https://upload.wikimedia.org/wikipedia/commons/d/df/Changgeyonggung_misc_3_-_Seoul,_Korea.jpg",37.5794165384496,126.995199911733,Jongno-gu,Changgyeonggung Palace,钟路区,昌庆宫,鍾路区,昌慶宮,Jongno-gu,Palacio Changgyeonggung,جونغنو غو,قصر تشانجيونجونج,Чонно-гу,Дворец Чхангёнгун,traditional|nature|photo,2.0,1,False,False,morning,solo|couple|friends|family,hot,royal_seoul|slow_seoul
